,Unnamed: 0,coIndx,category,city,region,coNm,title,career,education,contract,r_date,coID,salary,addr
537,537,38390870,데이터분석,서울,서초구,한미금융그룹,"한미금융그룹채용(부동산매각,임대,영업,물류센터개발,PF,리츠,구조화금융,M&A,온라인마케팅)",경력무관,학력무관,정규직,0731,4158800156,None,서울 강남구 강남대로 324 역삼디오슈페리움(역삼동)
538,538,38316314,데이터분석,서울,구로구,(주)사람인에이치알,[사람인LAB]검색/추천/AI(인공지능)연구원채용,경력무관,학력무관,정규직,0712,1138600917,"4,315","서울 구로구 디지털로34길 43, 201호"
539,539,38213643,데이터분석,서울,강남구,현대글로비스㈜,현대글로비스전문인력상시채용(부문:신사업/연구소),경력,대졸,정규직,0731,1068197118,"6,148",서울 강남구 테헤란로 301
540,540,38415337,데이터분석,서울,서초구,(주)아이센스,2020년하반기신입및경력수시채용,경력무관,초대졸,정규직,0719,2108129428,"4,314",서울 서초구 반포대로28길 43
541,541,38392984,데이터분석,서울,금천구,㈜ 컴투스,[컴투스/게임빌컴투스플랫폼/게임빌]각부문별채용,경력무관,대졸,정규직기간제,0731,1088116843,None,"서울 금천구 가산디지털1로 131, A동"
542,542,38410579,데이터분석,서울,강동구,(주)제이와이피엔터테인먼트,JYP엔터테인먼트2020년3분기공개채용,경력무관,학력무관,정규직,0719,2298109576,"4,153",서울 강동구 강동대로 205
543,543,38415249,데이터분석,서울,강남구,(주)시몬스,하반기각부문신입및경력모집,경력무관,학력무관,정규직계약직,0719,1268124808,"4,454",경기 이천시 사실로 1000
544,544,38377332,데이터분석,광주,서구,(주)유탑엔지니어링건축사사무소,[유탑그룹]관리/건설/호텔직원채용공고,경력무관,학력무관,정규직,0709,4098114831,"4,957",전남 화순군 자치샘로 21-5
545,545,38347521,데이터분석,서울,금천구,(주)하미글로벌,[㈜하미글로벌]하반기각부문신입/경력정규직채용,경력무관,고졸,정규직,0731,1048637079,"3,646","서울 금천구 가산디지털1로 131, C동 12층"
546,546,38395639,데이터분석,서울,강남구,현대오토에버(주),현대오토에버경력사원대규모상시채용,경력3년,학력무관,정규직,0831,1048153190,"6,307",서울 강남구 테헤란로 510
